int 	 binary 
354	0100011010000000
355	1100011010000000
356	0010011010000000
357	1010011010000000
358	0110011010000000
359	1110011010000000
360	0001011010000000
361	1001011010000000
362	0101011010000000
363	1101011010000000
364	0011011010000000
365	1011011010000000
366	0111011010000000
367	1111011010000000
368	0000111010000000
369	1000111010000000
370	0100111010000000
371	1100111010000000
372	0010111010000000
373	1010111010000000
374	0110111010000000
375	1110111010000000
376	0001111010000000
377	1001111010000000
378	0101111010000000
379	1101111010000000
380	0011111010000000
381	1011111010000000
382	0111111010000000
383	1111111010000000
384	0000000110000000
385	1000000110000000
386	0100000110000000
387	1100000110000000
388	0010000110000000
389	1010000110000000
390	0110000110000000
391	1110000110000000
392	0001000110000000
393	1001000110000000
394	0101000110000000
395	1101000110000000
396	0011000110000000
397	1011000110000000
398	0111000110000000
399	1111000110000000
400	0000100110000000
401	1000100110000000
402	0100100110000000
403	1100100110000000
404	0010100110000000
405	1010100110000000
406	0110100110000000
407	1110100110000000
408	0001100110000000
409	1001100110000000
410	0101100110000000
411	1101100110000000
412	0011100110000000
413	1011100110000000
414	0111100110000000
415	1111100110000000
416	0000010110000000
417	1000010110000000
418	0100010110000000
419	1100010110000000
420	0010010110000000
421	1010010110000000
422	0110010110000000
423	1110010110000000
424	0001010110000000
425	1001010110000000
426	0101010110000000
427	1101010110000000
428	0011010110000000
429	1011010110000000
430	0111010110000000
431	1111010110000000
432	0000110110000000
433	1000110110000000
434	0100110110000000
435	1100110110000000
436	0010110110000000
437	1010110110000000
438	0110110110000000
439	1110110110000000
440	0001110110000000
441	1001110110000000
442	0101110110000000
443	1101110110000000
444	0011110110000000
445	1011110110000000
446	0111110110000000
447	1111110110000000
448	0000001110000000
449	1000001110000000
450	0100001110000000
451	1100001110000000
452	0010001110000000
453	1010001110000000
454	0110001110000000
455	1110001110000000
456	0001001110000000
457	1001001110000000
458	0101001110000000
459	1101001110000000
460	0011001110000000
461	1011001110000000
462	0111001110000000
463	1111001110000000
464	0000101110000000
465	1000101110000000
466	0100101110000000
467	1100101110000000
468	0010101110000000
469	1010101110000000
470	0110101110000000
471	1110101110000000
472	0001101110000000
473	1001101110000000
474	0101101110000000
475	1101101110000000
476	0011101110000000
477	1011101110000000
478	0111101110000000
479	1111101110000000
480	0000011110000000
481	1000011110000000
482	0100011110000000
483	1100011110000000
484	0010011110000000
485	1010011110000000
486	0110011110000000
487	1110011110000000
488	0001011110000000
489	1001011110000000
490	0101011110000000
491	1101011110000000
492	0011011110000000
493	1011011110000000
494	0111011110000000
495	1111011110000000
496	0000111110000000
497	1000111110000000
498	0100111110000000
499	1100111110000000
500	0010111110000000
501	1010111110000000
502	0110111110000000
503	1110111110000000
504	0001111110000000
505	1001111110000000
506	0101111110000000
507	1101111110000000
508	0011111110000000
509	1011111110000000
510	0111111110000000
511	1111111110000000
512	0000000001000000
513	1000000001000000
514	0100000001000000
515	1100000001000000
516	0010000001000000
517	1010000001000000
518	0110000001000000
519	1110000001000000
520	0001000001000000
521	1001000001000000
522	0101000001000000
523	1101000001000000
524	0011000001000000
525	1011000001000000
526	0111000001000000
527	1111000001000000
528	0000100001000000
529	1000100001000000
530	0100100001000000
531	1100100001000000
532	0010100001000000
533	1010100001000000
534	0110100001000000
535	1110100001000000
536	0001100001000000
537	1001100001000000
538	0101100001000000
539	1101100001000000
540	0011100001000000
541	1011100001000000
542	0111100001000000
543	1111100001000000
544	0000010001000000
545	1000010001000000
546	0100010001000000
547	1100010001000000
548	0010010001000000
549	1010010001000000
550	0110010001000000
551	1110010001000000
552	0001010001000000
553	1001010001000000
554	0101010001000000
555	1101010001000000
556	0011010001000000
557	1011010001000000
558	0111010001000000
559	1111010001000000
560	0000110001000000
561	1000110001000000
562	0100110001000000
563	1100110001000000
564	0010110001000000
565	1010110001000000
566	0110110001000000
567	1110110001000000
568	0001110001000000
569	1001110001000000
570	0101110001000000
571	1101110001000000
572	0011110001000000
573	1011110001000000
574	0111110001000000
575	1111110001000000
576	0000001001000000
577	1000001001000000
578	0100001001000000
579	1100001001000000
580	0010001001000000
581	1010001001000000
582	0110001001000000
583	1110001001000000
584	0001001001000000
585	1001001001000000
586	0101001001000000
587	1101001001000000
588	0011001001000000
589	1011001001000000
590	0111001001000000
591	1111001001000000
592	0000101001000000
593	1000101001000000
594	0100101001000000
595	1100101001000000
596	0010101001000000
597	1010101001000000
598	0110101001000000
599	1110101001000000
600	0001101001000000
601	1001101001000000
602	0101101001000000
603	1101101001000000
604	0011101001000000
605	1011101001000000
606	0111101001000000
607	1111101001000000
608	0000011001000000
609	1000011001000000
610	0100011001000000
611	1100011001000000
612	0010011001000000
613	1010011001000000
614	0110011001000000
615	1110011001000000
616	0001011001000000
617	1001011001000000
618	0101011001000000
619	1101011001000000
620	0011011001000000
621	1011011001000000
622	0111011001000000
623	1111011001000000
624	0000111001000000
625	1000111001000000
626	0100111001000000
627	1100111001000000
628	0010111001000000
629	1010111001000000
630	0110111001000000
631	1110111001000000
632	0001111001000000
633	1001111001000000
634	0101111001000000
635	1101111001000000
636	0011111001000000
637	1011111001000000
638	0111111001000000
639	1111111001000000
640	0000000101000000
641	1000000101000000
642	0100000101000000
643	1100000101000000
644	0010000101000000
645	1010000101000000
646	0110000101000000
647	1110000101000000
648	0001000101000000
649	1001000101000000
650	0101000101000000
651	1101000101000000
652	0011000101000000
653	1011000101000000
